T_FD[K],N_FD
5e-05,10000000.0
4.99458995124988e-5,9998299.33246977
4.98922616346727e-5,9996613.21939403
4.98390787079385e-5,9994941.41676035
4.97863432532551e-5,9993283.68632746
4.97340479673088e-5,9991639.79550632
4.96821857162952e-5,9990009.51715588
4.96307495313108e-5,9988392.6294352
4.95797326028799e-5,9986788.91562449
4.95291282774138e-5,9985198.16401382
4.94789300509369e-5,9983620.16769513
4.94291315656717e-5,9982054.72445442
4.93797266057481e-5,9980501.63663282
4.93307090929695e-5,9978960.71098913
4.92820730835591e-5,9977431.7585966
4.9233812763103e-5,9975914.59467581
4.9185922443401e-5,9974409.03849433
4.91383965593586e-5,9972914.9132676
4.90912296640797e-5,9971432.04599598
4.90444164286177e-5,9969960.26746569
4.89979516353059e-5,9968499.41202326
4.89518301757487e-5,9967049.31751375
4.89060470506815e-5,9965609.82528465
4.88605973625069e-5,9964180.77993155
4.88154763152317e-5,9962762.02930407
4.87706792116721e-5,9961353.42441549
4.87262014497777e-5,9959954.81932099
4.86820385208223e-5,9958566.07106148
4.86381860067072e-5,9957187.0395759
4.85946395782076e-5,9955817.58764651
4.8551394992332e-5,9954457.58081281
4.85084480897109e-5,9953106.88728621
4.84657947920143e-5,9951765.37786554
4.84234311021235e-5,9950432.92594938
4.83813530988646e-5,9949109.40735672
4.83395569381367e-5,9947794.70037254
4.82980388486044e-5,9946488.68560194
4.82567951310496e-5,9945191.24595288
4.82158221568321e-5,9943902.26658732
4.81751163654644e-5,9942621.6348412
4.81346742640175e-5,9941349.24020855
4.80944924238304e-5,9940084.97423069
4.80545674799537e-5,9938828.73048142
4.80148961297036e-5,9937580.4045208
4.79754751303309e-5,9936339.89381772
4.79363012994108e-5,9935107.09776795
4.78973715116423e-5,9933881.9175859
4.78586826974696e-5,9932664.25626028
4.78202318435115e-5,9931454.01857321
4.77820159894105e-5,9930251.11099341
4.77440322273926e-5,9929055.44166447
4.77062777018351e-5,9927866.92039347
4.76687496061619e-5,9926685.45854536
4.76314451833338e-5,9925510.96906376
4.75943617236655e-5,9924343.36639766
4.7557496565333e-5,9923182.56652256
4.75208470913223e-5,9922028.48683651
4.7484410729069e-5,9920881.04615054
4.74481849509933e-5,9919740.16471062
4.7412167271484e-5,9918605.76409464
4.73763552474535e-5,9917477.76723484
4.73407464762339e-5,9916356.09834674
4.73053385952608e-5,9915240.68292076
4.72701292808777e-5,9914131.44768297
4.72351162480351e-5,9913028.32058711
4.7200297249111e-5,9911931.23077577
4.71656700727425e-5,9910840.10854178
4.71312325453125e-5,9909754.88538302
4.70969825262619e-5,9908675.49383994
4.70629179104773e-5,9907601.86758188
4.70290366262674e-5,9906533.94133825
4.6995336635113e-5,9905471.65089191
4.69618159305422e-5,9904414.93304185
4.69284725378926e-5,9903363.72559695
4.68953045140772e-5,9902317.96736985
4.68623099456019e-5,9901277.59810924
4.68294869492227e-5,9900242.55852498
4.67968336708523e-5,9899212.79025159
4.67643482844748e-5,9898188.23581197
4.67320289928158e-5,9897168.83864283
4.66998740253921e-5,9896154.5430279
4.66678816391909e-5,9895145.2941236
4.66360501176046e-5,9894141.03792332
4.66043777685023e-5,9893141.72119123
4.65728629275336e-5,9892147.2915802
4.65415039527239e-5,9891157.69744327
4.65102992277863e-5,9890172.88795174
4.64792471610774e-5,9889192.81306
4.64483461828272e-5,9888217.42340958
4.64175947467169e-5,9887246.67038614
4.6386991328853e-5,9886280.50608481
4.63565344284781e-5,9885318.88333664
4.6326222566087e-5,9884361.75564367
4.62960542824168e-5,9883409.07714483
4.62660281408973e-5,9882460.80270338
4.62361427240518e-5,9881516.88778165
4.62063966350898e-5,9880577.28849829
4.61767884960472e-5,9879641.96156411
4.61473169502401e-5,9878710.86436963
4.61179806586887e-5,9877783.95486045
4.60887783017156e-5,9876861.19159464
4.60597085779617e-5,9875942.53370926
4.60307702034077e-5,9875027.94088704
4.60019619121171e-5,9874117.37338361
4.59732824552622e-5,9873210.79199432
4.59447306018686e-5,9872308.15808148
4.59163051378463e-5,9871409.43354128
4.58880048641725e-5,9870514.58074087
4.58598285993532e-5,9869623.56260596
4.58317751767548e-5,9868736.34252785
4.58038434462121e-5,9867852.88442103
4.57760322730737e-5,9866973.15269047
4.57483405372535e-5,9866097.11219917
4.57207671331376e-5,9865224.72826574
4.56933109703428e-5,9864355.96669199
4.56659709719242e-5,9863490.79370068
4.56387460759869e-5,9862629.17599316
4.56116352347467e-5,9861771.08071702
4.55846374127484e-5,9860916.47540428
4.55577515884812e-5,9860065.32802898
4.55309767534478e-5,9859217.6069752
4.55043119129299e-5,9858373.28106479
4.54777560842164e-5,9857532.31949574
4.5451308296529e-5,9856694.69184026
4.54249675917923e-5,9855860.36807262
4.5398733025401e-5,9855029.31859693
4.53726036627722e-5,9854201.51412634
4.53465785809653e-5,9853376.92574079
4.53206568702942e-5,9852555.52494452
4.52948376308899e-5,9851737.28354557
4.52691199751594e-5,9850922.17374309
4.5243503025197e-5,9850110.16803676
4.52179859144024e-5,9849301.2392844
4.51925677865773e-5,9848495.36067074
4.51672477975383e-5,9847692.50576494
4.51420251108666e-5,9846892.64837131
4.51168989020387e-5,9846095.76267545
4.50918683558539e-5,9845301.82315423
4.50669326663796e-5,9844510.80457435
4.50420910385652e-5,9843722.6820498
4.5017342685681e-5,9842937.43095212
4.49926868309347e-5,9842155.02696791
4.49681227074155e-5,9841375.44609739
4.49436495555436e-5,9840598.66456493
4.49192666263507e-5,9839824.65893532
4.4894973178931e-5,9839053.40602429
4.48707684803944e-5,9838284.88289736
4.48466518074794e-5,9837519.06692723
4.48226224440146e-5,9836755.93570467
4.47986796841896e-5,9835995.4671544
4.47748228283629e-5,9835237.63938764
4.47510511855055e-5,9834482.43078874
4.47273640723275e-5,9833729.81998483
4.47037608140616e-5,9832979.78587387
4.46802407427662e-5,9832232.30756523
4.46568031981119e-5,9831487.36440781
4.46334475281637e-5,9830744.93601811
4.46101730868664e-5,9830005.00219181
4.45869792364791e-5,9829267.54299016
4.45638653467095e-5,9828532.53870982
4.45408307930308e-5,9827799.96982371
4.45178749582908e-5,9827069.81703833
4.44949972318527e-5,9826342.06126368
4.44721970103796e-5,9825616.68364142
4.44494736977965e-5,9824893.66554383
4.44268267027958e-5,9824172.98848609
4.44042554420829e-5,9823454.63424123
4.43817593378826e-5,9822738.58475242
4.43593378187261e-5,9822024.82216108
4.43369903194178e-5,9821313.32880608
4.43147162801867e-5,9820604.08719398
4.42925151491033e-5,9819897.08008491
4.42703863779668e-5,9819192.29034739
4.42483294255397e-5,9818489.70107305
4.42263437567004e-5,9817789.29554697
4.42044288407845e-5,9817091.05718931
4.41825841539987e-5,9816394.96964098
4.41608091769509e-5,9815701.01667659
4.4139103396249e-5,9815009.18226125
4.41174663036602e-5,9814319.45052116
4.40958973968944e-5,9813631.80577159
4.40743961779555e-5,9812946.23245882
4.40529621547368e-5,9812262.71521684
4.40315948393747e-5,9811581.23880938
4.40102937490344e-5,9810901.78815798
4.39890584066919e-5,9810224.3483699
4.39678883402997e-5,9809548.90470888
4.39467830819544e-5,9808875.44256594
4.39257421678757e-5,9808203.94745879
4.3904765139996e-5,9807534.40508846
4.38838515451282e-5,9806866.80131
4.38630009341375e-5,9806201.12210345
4.38422128619209e-5,9805537.35357327
4.38214868881897e-5,9804875.48197637
4.38008225766438e-5,9804215.49369297
4.37802194965558e-5,9803557.3752831
4.37596772203404e-5,9802901.11340055
4.37391953251402e-5,9802246.6948494
4.37187733920021e-5,9801594.10655495
4.36984110066584e-5,9800943.3355917
4.3678107757906e-5,9800294.36912602
4.3657863239188e-5,9799647.19447249
4.36376770469751e-5,9799001.79903667
4.36175487831442e-5,9798358.17039967
4.35974780525615e-5,9797716.2962326
4.35774644646613e-5,9797076.16435284
4.35575076310358e-5,9796437.76263863
4.35376071686064e-5,9795801.07914184
4.35177626972142e-5,9795166.10200264
4.34979738404004e-5,9794532.81947736
4.34782402245944e-5,9793901.21990986
4.34585614814804e-5,9793271.29181574
4.34389372448022e-5,9792643.02376907
4.34193671519373e-5,9792016.40445843
4.33998508438796e-5,9791391.42268649
4.33803879652232e-5,9790768.0673696
4.33609781633549e-5,9790146.32750924
4.33416210900211e-5,9789526.19224794
4.33223163981493e-5,9788907.65075642
4.33030637457878e-5,9788290.69237375
4.32838627937167e-5,9787675.30652266
4.32647132054358e-5,9787061.48270922
4.32456146471505e-5,9786449.21052253
4.32265667893348e-5,9785838.47969038
4.3207569304352e-5,9785229.27999487
4.31886218680174e-5,9784621.60132806
4.31697241587979e-5,9784015.43366371
4.31508758593696e-5,9783410.76711279
4.3132076653461e-5,9782807.59181134
4.31133262281996e-5,9782205.89800411
4.30946242740969e-5,9781605.6760441
4.30759704834671e-5,9781006.9163365
4.30573645519838e-5,9780409.60939417
4.30388061786653e-5,9779813.74583729
4.3020295064297e-5,9779219.31633732
4.30018309122037e-5,9778626.31164463
4.29834134290191e-5,9778034.72261601
4.29650423238912e-5,9777444.54018652
4.29467173076918e-5,9776855.75534144
4.29284380945663e-5,9776268.35917161
4.29102044003624e-5,9775682.34281759
4.2892015944957e-5,9775097.69755261
4.28738724491282e-5,9774514.41467135
